Time (s),Channel 1 (V),Channel 2 (V)
-0.02291014072847682,-0.5385334467886467,1.940729325750578
-0.02290389072847682,-0.5402303942345904,2.017086425566161
-0.02289764072847682,-0.5419273416805325,2.093443525381675
-0.02289139072847682,-0.5436242891264754,2.171152078291304
-0.02288514072847682,-0.5453212365724183,2.248522767927413
-0.02287889072847682,-0.5466787945291726,2.326231320837042
-0.02287264072847682,-0.5480363524859277,2.405291326840787
-0.02286639072847682,-0.5497332999318698,2.483337743023901
-0.02286014072847682,-0.5514302473778128,2.56273561230113
-0.02285389072847682,-0.5527878053345671,2.64078202848428
-0.02284764072847682,-0.5541453632913214,2.719166307940949
-0.02284139072847682,-0.5551635317588878,2.797550587397653
-0.02283514072847682,-0.5565210897156414,2.874245550486687
-0.02282889072847682,-0.5582180371615844,2.951278376849276
-0.02282264072847682,-0.5592362056291501,3.027297613391304
-0.02281639072847682,-0.5605937635859044,3.102303260112772
-0.02281014072847682,-0.5616119320534706,3.176633180287233
-0.02280389072847682,-0.5626301005210359,3.250287373914587
-0.02279764072847682,-0.5636482689886017,3.321914387900854
-0.02279139072847682,-0.5643270479669787,3.39252781206656
-0.02278514072847682,-0.5653452164345445,3.461789783138186
-0.02277889072847682,-0.5663633849021107,3.529700301115762
-0.02277264072847682,-0.567381553369676,3.596259365999196
-0.02276639072847682,-0.5677209428588645,3.66045338796802
-0.02276014072847682,-0.5687391113264303,3.723295956842764
-0.02275389072847682,-0.569757279793996,3.783773482802866
-0.02274764072847682,-0.5704360587723734,3.842561692395394
-0.02274139072847682,-0.5707754482615618,3.89966058562027
-0.02273514072847682,-0.571454227239939,3.95371870938349
-0.02272889072847682,-0.5721330062183161,4.00710110659967
-0.02272264072847682,-0.5728117851966933,4.056429144533608
-0.02271639072847682,-0.5734905641750706,4.104067866099967
-0.02271014072847682,-0.573829953664259,4.149679408025163
-0.02270389072847682,-0.5741693431534476,4.192588043762219
-0.02269764072847682,-0.5748481221318248,4.232793773311114
-0.02269139072847682,-0.5751875116210133,4.269620870124808
-0.02268514072847682,-0.5758662905993902,4.304758650570886
-0.02267889072847682,-0.5758662905993905,4.336855661555314
-0.02267264072847682,-0.5762056800885791,4.365574039804524
-0.02266639072847682,-0.5765450695777676,4.391927375139094
-0.02266014072847682,-0.5765450695777676,4.414564214464942
-0.02265389072847682,-0.5772238485561445,4.43551173742318
-0.02264764072847682,-0.5772238485561448,4.452404901099197
