Time (s),Channel 1 (V),Channel 2 (V)
-0.0892675,1.051166920570664,3.460100466770588
-0.0892425,1.051506310059853,3.466182005693951
-0.08921750000000001,1.051506310059853,3.47192568134379
-0.08919250000000001,1.051506310059853,3.477331493720112
-0.08916750000000001,1.051845699549041,3.482399442822914
-0.08914250000000001,1.05218508903823,3.488818845019796
-0.08911749999999999,1.05218508903823,3.494900383943162
-0.08909249999999999,1.05218508903823,3.498616879951885
-0.08906749999999999,1.052524478527419,3.504360555601725
-0.0890425,1.052863868016607,3.510779957798606
-0.0890175,1.052863868016607,3.515172180354368
-0.0889925,1.053203257505796,3.51990226618365
-0.0889675,1.053203257505796,3.52598380510701
-0.08894250000000001,1.053542646994984,3.532403207303893
-0.08891750000000001,1.053542646994984,3.536119703312614
-0.08889250000000001,1.053882036484173,3.542201242235976
-0.08886749999999999,1.053882036484173,3.548620644432862
-0.08884249999999999,1.054221425973361,3.552675003715105
-0.08881749999999999,1.054221425973362,3.558418679364945
-0.0887925,1.05456081546255,3.564500218288307
-0.0887675,1.05456081546255,3.570581757211668
-0.0887425,1.054900204951739,3.573960389946871
-0.0887175,1.054900204951739,3.57970406559671
-0.08869250000000001,1.055239594440927,3.585447741246552
-0.08866750000000001,1.055239594440927,3.590177827075834
-0.08864250000000001,1.055578983930116,3.594907912905116
-0.08861749999999999,1.055578983930116,3.600989451828483
-0.08859249999999999,1.055918373419304,3.606733127478324
-0.08856749999999999,1.055918373419305,3.610449623487044
-0.0885425,1.056257762908493,3.616531162410407
-0.0885175,1.056597152397682,3.621936974786728
-0.0884925,1.056597152397682,3.626667060616009
-0.0884675,1.05693654188687,3.631059283171769
-0.08844250000000001,1.05693654188687,3.637140822095132
-0.08841750000000001,1.057275931376059,3.642546634471453
-0.08839250000000001,1.057275931376059,3.646263130480175
-0.08836750000000002,1.057615320865247,3.651668942856494
-0.08834249999999999,1.057615320865247,3.658088345053383
-0.08831749999999999,1.057615320865247,3.661804841062104
-0.0882925,1.057954710354436,3.667548516711946
-0.0882675,1.057954710354436,3.672954329088267
-0.0882425,1.058294099843624,3.677684414917548
-0.0882175,1.058294099843624,3.681738774199788
-0.08819250000000001,1.058294099843624,3.687820313123151
-0.08816750000000001,1.058633489332813,3.693226125499473
-0.08814250000000001,1.058972878822002,3.697280484781714
-0.08811750000000002,1.058972878822002,3.702686297158033
-0.08809249999999999,1.05931226831119,3.708429972807882
-0.08806749999999999,1.059651657800379,3.712822195363642
-0.0880425,1.05931226831119,3.716876554645884
-0.0880175,1.059651657800379,3.722282367022206
-0.0879925,1.059651657800379,3.727688179398527
-0.0879675,1.059991047289567,3.731404675407247
-0.08794250000000001,1.059991047289567,3.737148351057089
-0.08791750000000001,1.060330436778756,3.742554163433411
-0.08789250000000001,1.060330436778756,3.747959975809733
-0.08786750000000002,1.060330436778756,3.751000745271413
-0.08784249999999999,1.060669826267944,3.756744420921262
-0.08781749999999999,1.060669826267944,3.76282595984462
-0.0877925,1.060669826267945,3.766204592579822
-0.0877675,1.061009215757133,3.770934678409104
-0.0877425,1.061009215757133,3.776678354058946
-0.0877175,1.061348605246322,3.781070576614705
-0.08769250000000001,1.061348605246322,3.785462799170467
-0.08766750000000001,1.06168799473551,3.791206474820309
-0.08764250000000001,1.06168799473551,3.795936560649591
-0.08761750000000001,1.062027384224699,3.799653056658311
-0.08759249999999999,1.062027384224699,3.804721005761119
-0.08756749999999999,1.062366773713887,3.810126818137438
-0.0875425,1.062366773713887,3.81384331414616
-0.0875175,1.062366773713887,3.818573399975441
-0.0874925,1.062366773713888,3.823641349078243
-0.0874675,1.062706163203076,3.828709298181043
-0.08744250000000001,1.063045552692264,3.832087930916245
-0.08741750000000001,1.063045552692264,3.837493743292566
-0.08739250000000001,1.063045552692264,3.842561692395368
-0.08736750000000001,1.063045552692264,3.846278188404088
-0.08734249999999999,1.063384942181453,3.851346137506896
-0.08731749999999999,1.063384942181453,3.856751949883216
-0.0872925,1.063724331670642,3.860806309165457
-0.0872675,1.063724331670642,3.864522805174179
-0.0872425,1.06406372115983,3.869928617550501
-0.0872175,1.06406372115983,3.874996566653301
-0.08719250000000001,1.06406372115983,3.878375199388502
-0.08716750000000001,1.064403110649019,3.883781011764824
-0.08714250000000001,1.064403110649019,3.888173234320585
-0.08711750000000001,1.064742500138207,3.892227593602825
-0.08709249999999999,1.064742500138207,3.896619816158593
-0.08706749999999999,1.064742500138208,3.901687765261393
-0.08704249999999999,1.065081889627396,3.906417851090674
-0.0870175,1.065081889627396,3.910472210372915
-0.0869925,1.065081889627396,3.914188706381638
-0.0869675,1.065421279116585,3.919594518757958
-0.08694250000000001,1.065421279116585,3.924324604587239
-0.08691750000000001,1.065421279116585,3.92736537404892
-0.08689250000000001,1.065760668605773,3.932433323151722
-0.08686750000000001,1.065760668605773,3.937501272254524
-0.08684249999999999,1.066100058094962,3.940879904989729
-0.08681749999999999,1.066100058094962,3.944934264271969
-0.08679249999999999,1.06643944758415,3.94966435010125
-0.0867675,1.066100058094962,3.954056572657012
-0.0867425,1.06643944758415,3.957435205392214
-0.0867175,1.06643944758415,3.962841017768533
-0.08669250000000001,1.066778837073339,3.967233240324295
-0.08666750000000001,1.066778837073339,3.970611873059497
-0.08664250000000001,1.067118226562527,3.975004095615258
-0.08661750000000001,1.067118226562527,3.97973418144454
-0.08659249999999999,1.067118226562528,3.983112814179744
-0.08656749999999999,1.067457616051716,3.987167173461985
-0.08654249999999999,1.067457616051716,3.992235122564786
-0.0865175,1.067457616051716,3.996289481847027
