Time (s),Channel 1 (V),Channel 2 (V)
-0.6901221796875,-0.559088483703195,3.241165065529544
-0.6900379296875,-0.559088483703195,3.250625237188107
-0.6899536796875,-0.5594278731923835,3.25873395575259
-0.6898694296875,-0.5594278731923835,3.268869853958194
-0.6897851796875,-0.5594278731923835,3.279681478710838
-0.6897009296875,-0.5597672626815722,3.289817376916442
-0.6896166796875,-0.5597672626815723,3.298263958754449
-0.6895324296875001,-0.5601066521707604,3.30738626713948
-0.6894481796875001,-0.5601066521707607,3.317860028618603
-0.6893639296875,-0.5601066521707607,3.327995926824207
-0.6892796796875,-0.5604460416599492,3.337456098482775
-0.6891954296875,-0.5604460416599493,3.345902680320779
-0.6891111796875,-0.5604460416599493,3.356038578526382
-0.6890269296875,-0.5607854311491377,3.365836613458466
-0.6889426796875,-0.5607854311491378,3.376310374937589
-0.6888584296875,-0.5611248206383265,3.384756956775597
-0.6887741796875,-0.5611248206383265,3.393203538613601
-0.6886899296875,-0.561464210127515,3.403677300092725
-0.6886056796875,-0.561464210127515,3.413475335024808
-0.6885214296875,-0.561464210127515,3.422597643409851
-0.6884371796875,-0.5614642101275151,3.431044225247859
-0.6883529296874999,-0.5618035996167036,3.440842260179943
-0.6882686796874999,-0.5618035996167037,3.450640295112026
-0.6881844296874999,-0.5621429891058922,3.460438330044109
-0.6881001796874999,-0.5621429891058923,3.467871322061553
-0.6880159296874999,-0.5624823785950808,3.477331493720121
-0.6879316796874999,-0.5624823785950808,3.487467391925724
-0.6878474296874999,-0.5624823785950808,3.497265426857807
-0.6877631796875,-0.5624823785950808,3.506049871969318
-0.6876789296875,-0.5628217680842693,3.514158590533806
-0.6875946796875,-0.5628217680842693,3.52361876219237
-0.6875104296875,-0.5628217680842693,3.533416797124453
-0.6874261796875,-0.563161157573458,3.543214832056536
-0.6873419296875,-0.563161157573458,3.550309960800459
-0.6872576796875,-0.5631611575734581,3.559432269185507
-0.6871734296875001,-0.5635005470626462,3.568892440844058
-0.6870891796875001,-0.5638399365518347,3.578352612502621
-0.6870049296875,-0.5638399365518351,3.586799194340625
-0.6869206796875,-0.5638399365518351,3.594232186358072
-0.6868364296875,-0.5638399365518351,3.604030221290155
-0.6867521796875,-0.5638399365518351,3.613490392948719
-0.6866679296875,-0.5641793260410236,3.622612701333762
-0.6865836796875,-0.5641793260410237,3.629369966804166
-0.6864994296875,-0.5641793260410237,3.638492275189212
-0.6864151796875,-0.5645187155302123,3.647614583574255
-0.6863309296875,-0.5645187155302123,3.657074755232819
-0.6862466796875,-0.5645187155302123,3.665183473797302
-0.6861624296875,-0.5645187155302123,3.672616465814745
-0.6860781796875,-0.5648581050194008,3.681738774199793
-0.6859939296874999,-0.5648581050194009,3.691198945858356
-0.6859096796874999,-0.5651974945085894,3.700321254243398
-0.6858254296874999,-0.5651974945085894,3.706402793166762
-0.6857411796874999,-0.5651974945085895,3.715187238278285
-0.6856569296874999,-0.565536883997778,3.723971683389812
